;movie_title;HCA
603;Wolf ;14
604;War Horse ;34
605;The Monuments Men ;34
606;The Abyss ;149
607;Wall Street: Money Never Sleeps ;19
608;Dracula Untold ;35
609;The Siege ;144
610;Stardust ;106
611;Seven Years in Tibet ;29
612;The Dilemma ;114
613;Bad Company ;145
614;Doom ;2
615;I Spy ;145
616;Underworld: Awakening ;3
617;Rock of Ages ;95
618;Hart's War ;34
619;Killer Elite ;58
620;Rollerball ;156
621;Ballistic: Ecks vs. Sever ;139
622;Hard Rain ;57
623;Osmosis Jones ;128
624;Legends of Oz: Dorothy's Return ;119
625;Blackhat ;49
626;Sky Captain and the World of Tomorrow ;48
627;Basic Instinct 2 ;45
628;Escape Plan ;139
629;The Legend of Hercules ;160
630;The Sum of All Fears ;28
631;The Twilight Saga: Eclipse ;146
632;The Score ;64
633;Despicable Me ;131
634;Money Train ;81
635;Ted 2 ;85
636;Agora ;38
637;Mystery Men ;157
638;Hall Pass ;82
639;The Insider ;42
640;The Finest Hours ;30
641;Body of Lies ;28
642;Dinner for Schmucks ;85
643;Abraham Lincoln: Vampire Hunter ;3
644;Entrapment ;61
645;Last Man Standing             ;85
646;The X Files ;23
647;The Last Legion ;158
648;Saving Private Ryan ;35
649;Need for Speed ;57
650;What Women Want ;83
651;Ice Age ;132
652;Dreamcatcher ;24
653;Lincoln ;29
654;The Matrix ;156
655;Apollo 13 ;152
657;The Santa Clause 2 ;112
658;Les Misérables ;94
659;You've Got Mail ;100
660;Step Brothers ;85
661;The Mask of Zorro ;145
662;Due Date ;114
663;Unbroken ;29
664;Space Cowboys ;135
665;Cliffhanger ;135
666;Broken Arrow ;58
667;The Kid ;112
668;World Trade Center ;37
669;Mona Lisa Smile ;19
670;The Dictator ;82
671;Eyes Wide Shut ;55
672;Annie ;121
673;Focus ;75
674;This Means War ;162
675;Blade: Trinity ;4
676;Red Dawn ;35
677;Primary Colors ;114
678;Resident Evil: Retribution ;4
679;Death Race ;140
680;The Long Kiss Goodnight ;49
681;Proof of Life ;28
682;Zathura: A Space Adventure ;125
683;Fight Club ;19
684;We Are Marshall ;118
685;The Missing             ;53
686;Hudson Hawk ;76
687;Lucky Numbers ;73
688;I, Frankenstein ;3
689;Oliver Twist ;59
690;Elektra ;3
691;Sin City: A Dame to Kill For ;58
692;Random Hearts ;54
693;Everest ;152
694;Perfume: The Story of a Murderer ;111
695;Austin Powers in Goldmember ;79
696;Astro Boy ;129
697;Jurassic Park ;143
698;Wyatt Earp ;151
699;Clear and Present Danger ;57
700;Dragon Blade ;152
701;Littleman ;73
702;U-571 ;35
703;The American President ;100
704;The Love Guru ;116
705;3000 Miles to Graceland ;80
706;The Hateful Eight ;50
707;Blades of Glory ;116
708;Hop ;122
709;300 ;35
710;Meet the Fockers ;82
711;Marley & Me ;102
712;The Green Mile ;111
713;Wild Hogs ;76
714;Chicken Little ;129
715;Gone Girl ;50
716;The Bourne Identity ;46
717;GoldenEye ;135
718;The General's Daughter ;55
719;The Truman Show ;88
720;The Prince of Egypt ;119
721;Daddy Day Care ;107
722;2 Guns ;81
723;Cats & Dogs ;128
724;The Italian Job ;58
725;Two Weeks Notice ;82
726;Antz ;132
727;Couples Retreat ;85
728;Days of Thunder ;163
729;Cheaper by the Dozen 2 ;134
730;The Scorch Trials ;140
731;Eat Pray Love ;101
732;The Family Man ;110
733;RED ;80
734;Any Given Sunday ;118
735;The Horse Whisperer ;21
736;Collateral ;64
737;The Scorpion King ;138
738;Ladder 49 ;28
739;Jack Reacher ;46
740;Deep Blue Sea ;140
741;This Is It ;68
742;Contagion ;25
743;Kangaroo Jack ;76
744;Coraline ;131
745;The Happening ;143
746;Man on Fire ;57
747;The Shaggy Dog ;112
748;Starsky & Hutch ;73
749;Jingle All the Way ;107
750;Hellboy ;2
751;A Civil Action ;19
752;ParaNorman ;122
753;The Jackal ;136
754;Paycheck ;48
755;Up Close & Personal ;101
756;The Tale of Despereaux ;122
757;Rules of Engagement             ;82
758;The Tuxedo ;157
759;Under Siege 2: Dark Territory ;144
760;Jack Ryan: Shadow Recruit ;28
761;Joy ;40
762;London Has Fallen ;57
763;Alien: Resurrection ;2
764;Shooter ;49
765;The Boxtrolls ;122
766;Practical Magic ;110
767;The Lego Movie ;128
768;Miss Congeniality 2: Armed and Fabulous ;79
769;Reign of Fire ;138
770;Gangster Squad ;57
771;Year One ;148
772;Invictus ;38
